"Geslacht";"Leeftijd";"Burgerlijke staat";"Perioden";"Regio's";"Bevolking op 1 januari (aantal)"
"Totaal mannen en vrouwen";"Totaal";"Totaal burgerlijke staat";"1988";"Aa en Hunze";
"Totaal mannen en vrouwen";"Totaal";"Totaal burgerlijke staat";"2000";"Aa en Hunze";24824
"Totaal mannen en vrouwen";"Totaal";"Totaal burgerlijke staat";"2005";"Aa en Hunze";25329
"Totaal mannen en vrouwen";"Totaal";"Totaal burgerlijke staat";"2019";"Aa en Hunze";25386
"Totaal mannen en vrouwen";"Totaal";"Totaal burgerlijke staat";"2020";"Aa en Hunze";25445
"Totaal mannen en vrouwen";"Totaal";"Totaal burgerlijke staat";"1988";"Aalburg";10597
"Totaal mannen en vrouwen";"Totaal";"Totaal burgerlijke staat";"2000";"Aalburg";11774
"Totaal mannen en vrouwen";"Totaal";"Totaal burgerlijke staat";"2005";"Aalburg";12164
"Totaal mannen en vrouwen";"Totaal";"Totaal burgerlijke staat";"2019";"Aalburg";
"Totaal mannen en vrouwen";"Totaal";"Totaal burgerlijke staat";"2020";"Aalburg";
"Totaal mannen en vrouwen";"Totaal";"Totaal burgerlijke staat";"1988";"Aalsmeer";21740
"Totaal mannen en vrouwen";"Totaal";"Totaal burgerlijke staat";"2000";"Aalsmeer";22461
"Totaal mannen en vrouwen";"Totaal";"Totaal burgerlijke staat";"2005";"Aalsmeer";23296
"Totaal mannen en vrouwen";"Totaal";"Totaal burgerlijke staat";"2019";"Aalsmeer";31728
"Totaal mannen en vrouwen";"Totaal";"Totaal burgerlijke staat";"2020";"Aalsmeer";31859
"Totaal mannen en vrouwen";"Totaal";"Totaal burgerlijke staat";"1988";"Aalten";18142
"Totaal mannen en vrouwen";"Totaal";"Totaal burgerlijke staat";"2000";"Aalten";18699
"Totaal mannen en vrouwen";"Totaal";"Totaal burgerlijke staat";"2005";"Aalten";27446
"Totaal mannen en vrouwen";"Totaal";"Totaal burgerlijke staat";"2019";"Aalten";27011
"Totaal mannen en vrouwen";"Totaal";"Totaal burgerlijke staat";"2020";"Aalten";27121
"Totaal mannen en vrouwen";"Totaal";"Totaal burgerlijke staat";"1988";"Ter Aar";9098
"Totaal mannen en vrouwen";"Totaal";"Totaal burgerlijke staat";"2000";"Ter Aar";9074
"Totaal mannen en vrouwen";"Totaal";"Totaal burgerlijke staat";"2005";"Ter Aar";8999
